================ Training Loss (Wed Jul  5 21:28:59 2023) ================
(epoch: 20, iters: 160, time: 0.245, data: 0.000) loss: 1.401 
(epoch: 20, iters: 240, time: 0.244, data: 0.000) loss: 1.163 
(epoch: 20, iters: 320, time: 0.244, data: 0.033) loss: 1.481 
(epoch: 20, iters: 400, time: 0.244, data: 0.000) loss: 1.583 
(epoch: 20, iters: 480, time: 0.244, data: 0.000) loss: 1.694 
(epoch: 21, iters: 80, time: 0.245, data: 1.575) loss: 1.249 
(epoch: 21, iters: 160, time: 0.242, data: 0.000) loss: 1.631 
(epoch: 21, iters: 240, time: 0.247, data: 0.008) loss: 1.219 
(epoch: 21, iters: 320, time: 0.247, data: 0.013) loss: 1.983 
(epoch: 21, iters: 400, time: 0.244, data: 0.000) loss: 1.496 
(epoch: 21, iters: 480, time: 0.245, data: 0.021) loss: 1.501 
(epoch: 22, iters: 80, time: 0.245, data: 1.624) loss: 1.246 
(epoch: 22, iters: 160, time: 0.243, data: 0.000) loss: 1.222 
(epoch: 22, iters: 240, time: 0.245, data: 0.000) loss: 1.361 
(epoch: 22, iters: 320, time: 0.244, data: 0.020) loss: 1.629 
(epoch: 22, iters: 400, time: 0.243, data: 0.000) loss: 1.163 
(epoch: 22, iters: 480, time: 0.246, data: 0.000) loss: 1.399 
(epoch: 23, iters: 80, time: 0.244, data: 1.116) loss: 1.101 
(epoch: 23, iters: 160, time: 0.243, data: 0.000) loss: 1.067 
(epoch: 23, iters: 240, time: 0.245, data: 0.007) loss: 1.606 
(epoch: 23, iters: 320, time: 0.244, data: 0.014) loss: 1.170 
(epoch: 23, iters: 400, time: 0.244, data: 0.000) loss: 1.407 
(epoch: 23, iters: 480, time: 0.245, data: 0.008) loss: 1.297 
(epoch: 24, iters: 80, time: 0.247, data: 1.002) loss: 1.008 
(epoch: 24, iters: 160, time: 0.243, data: 0.000) loss: 1.377 
(epoch: 24, iters: 240, time: 0.245, data: 0.007) loss: 2.016 
(epoch: 24, iters: 320, time: 0.246, data: 0.014) loss: 1.161 
(epoch: 24, iters: 400, time: 0.246, data: 0.000) loss: 1.309 
(epoch: 24, iters: 480, time: 0.245, data: 0.006) loss: 1.171 
(epoch: 25, iters: 80, time: 0.245, data: 0.683) loss: 0.818 
(epoch: 25, iters: 160, time: 0.244, data: 0.000) loss: 1.164 
(epoch: 25, iters: 240, time: 0.245, data: 0.015) loss: 0.925 
(epoch: 25, iters: 320, time: 0.245, data: 0.009) loss: 0.995 
(epoch: 25, iters: 400, time: 0.244, data: 0.000) loss: 0.706 
(epoch: 25, iters: 480, time: 0.244, data: 0.008) loss: 1.356 
(epoch: 26, iters: 80, time: 0.246, data: 0.956) loss: 0.921 
(epoch: 26, iters: 160, time: 0.247, data: 0.013) loss: 1.264 
(epoch: 26, iters: 240, time: 0.246, data: 0.000) loss: 0.932 
(epoch: 26, iters: 320, time: 0.245, data: 0.008) loss: 1.322 
(epoch: 26, iters: 400, time: 0.246, data: 0.012) loss: 0.996 
(epoch: 26, iters: 480, time: 0.247, data: 0.000) loss: 1.366 
(epoch: 27, iters: 80, time: 0.244, data: 0.706) loss: 0.976 
(epoch: 27, iters: 160, time: 0.246, data: 0.006) loss: 1.655 
(epoch: 27, iters: 240, time: 0.244, data: 0.008) loss: 1.159 
(epoch: 27, iters: 320, time: 0.244, data: 0.007) loss: 1.428 
(epoch: 27, iters: 400, time: 0.250, data: 0.009) loss: 0.787 
(epoch: 27, iters: 480, time: 0.244, data: 0.006) loss: 0.922 
(epoch: 28, iters: 80, time: 0.245, data: 1.116) loss: 0.760 
(epoch: 28, iters: 160, time: 0.244, data: 0.000) loss: 0.820 
(epoch: 28, iters: 240, time: 0.245, data: 0.000) loss: 1.006 
(epoch: 28, iters: 320, time: 0.245, data: 0.020) loss: 0.862 
(epoch: 28, iters: 400, time: 0.244, data: 0.000) loss: 1.176 
(epoch: 28, iters: 480, time: 0.244, data: 0.000) loss: 0.982 
(epoch: 29, iters: 80, time: 0.246, data: 0.821) loss: 0.578 
(epoch: 29, iters: 160, time: 0.244, data: 0.000) loss: 0.796 
(epoch: 29, iters: 240, time: 0.245, data: 0.000) loss: 1.885 
(epoch: 29, iters: 320, time: 0.245, data: 0.033) loss: 0.743 
(epoch: 29, iters: 400, time: 0.244, data: 0.000) loss: 0.942 
(epoch: 29, iters: 480, time: 0.244, data: 0.000) loss: 0.637 
(epoch: 30, iters: 80, time: 0.244, data: 0.836) loss: 0.912 
(epoch: 30, iters: 160, time: 0.244, data: 0.007) loss: 0.652 
(epoch: 30, iters: 240, time: 0.245, data: 0.006) loss: 0.725 
(epoch: 30, iters: 320, time: 0.243, data: 0.008) loss: 0.703 
(epoch: 30, iters: 400, time: 0.244, data: 0.008) loss: 0.946 
(epoch: 30, iters: 480, time: 0.243, data: 0.006) loss: 0.666 
(epoch: 31, iters: 80, time: 0.245, data: 0.501) loss: 0.710 
(epoch: 31, iters: 160, time: 0.242, data: 0.015) loss: 0.834 
(epoch: 31, iters: 240, time: 0.244, data: 0.000) loss: 1.268 
(epoch: 31, iters: 320, time: 0.246, data: 0.009) loss: 0.833 
(epoch: 31, iters: 400, time: 0.244, data: 0.013) loss: 1.010 
(epoch: 31, iters: 480, time: 0.244, data: 0.000) loss: 0.894 
(epoch: 32, iters: 80, time: 0.245, data: 0.445) loss: 0.580 
(epoch: 32, iters: 160, time: 0.247, data: 0.006) loss: 0.733 
(epoch: 32, iters: 240, time: 0.245, data: 0.013) loss: 0.926 
(epoch: 32, iters: 320, time: 0.243, data: 0.000) loss: 0.839 
(epoch: 32, iters: 400, time: 0.245, data: 0.008) loss: 1.352 
(epoch: 32, iters: 480, time: 0.243, data: 0.012) loss: 1.001 
(epoch: 33, iters: 80, time: 0.243, data: 0.836) loss: 0.635 
(epoch: 33, iters: 160, time: 0.244, data: 0.000) loss: 0.834 
(epoch: 33, iters: 240, time: 0.245, data: 0.013) loss: 0.990 
(epoch: 33, iters: 320, time: 0.243, data: 0.007) loss: 0.694 
(epoch: 33, iters: 400, time: 0.245, data: 0.000) loss: 0.716 
(epoch: 33, iters: 480, time: 0.244, data: 0.011) loss: 0.458 
(epoch: 34, iters: 80, time: 0.244, data: 0.432) loss: 1.093 
(epoch: 34, iters: 160, time: 0.243, data: 0.000) loss: 0.731 
(epoch: 34, iters: 240, time: 0.244, data: 0.014) loss: 0.689 
(epoch: 34, iters: 320, time: 0.243, data: 0.009) loss: 0.417 
(epoch: 34, iters: 400, time: 0.243, data: 0.000) loss: 0.613 
(epoch: 34, iters: 480, time: 0.245, data: 0.013) loss: 0.790 
(epoch: 35, iters: 80, time: 0.243, data: 0.244) loss: 0.540 
(epoch: 35, iters: 160, time: 0.244, data: 0.000) loss: 0.878 
(epoch: 35, iters: 240, time: 0.243, data: 0.015) loss: 0.473 
(epoch: 35, iters: 320, time: 0.243, data: 0.007) loss: 0.744 
(epoch: 35, iters: 400, time: 0.244, data: 0.000) loss: 0.444 
(epoch: 35, iters: 480, time: 0.245, data: 0.014) loss: 0.841 
(epoch: 36, iters: 80, time: 0.244, data: 0.384) loss: 0.513 
(epoch: 36, iters: 160, time: 0.244, data: 0.014) loss: 0.953 
(epoch: 36, iters: 240, time: 0.246, data: 0.007) loss: 0.977 
(epoch: 36, iters: 320, time: 0.244, data: 0.000) loss: 0.755 
(epoch: 36, iters: 400, time: 0.246, data: 0.014) loss: 0.831 
(epoch: 36, iters: 480, time: 0.246, data: 0.007) loss: 0.590 
(epoch: 37, iters: 80, time: 0.245, data: 0.643) loss: 0.512 
(epoch: 37, iters: 160, time: 0.246, data: 0.000) loss: 0.864 
(epoch: 37, iters: 240, time: 0.246, data: 0.007) loss: 0.718 
(epoch: 37, iters: 320, time: 0.243, data: 0.014) loss: 0.442 
(epoch: 37, iters: 400, time: 0.242, data: 0.000) loss: 1.029 
(epoch: 37, iters: 480, time: 0.246, data: 0.007) loss: 0.487 
(epoch: 38, iters: 80, time: 0.243, data: 0.435) loss: 0.843 
(epoch: 38, iters: 160, time: 0.243, data: 0.006) loss: 1.177 
(epoch: 38, iters: 240, time: 0.243, data: 0.006) loss: 0.993 
(epoch: 38, iters: 320, time: 0.243, data: 0.008) loss: 0.846 
(epoch: 38, iters: 400, time: 0.243, data: 0.006) loss: 0.768 
(epoch: 38, iters: 480, time: 0.245, data: 0.006) loss: 0.720 
(epoch: 39, iters: 80, time: 0.245, data: 0.245) loss: 0.379 
(epoch: 39, iters: 160, time: 0.244, data: 0.008) loss: 1.332 
(epoch: 39, iters: 240, time: 0.244, data: 0.006) loss: 0.559 
(epoch: 39, iters: 320, time: 0.244, data: 0.008) loss: 0.803 
(epoch: 39, iters: 400, time: 0.244, data: 0.009) loss: 0.383 
(epoch: 39, iters: 480, time: 0.252, data: 0.006) loss: 0.485 
(epoch: 40, iters: 80, time: 0.245, data: 0.242) loss: 0.513 
(epoch: 40, iters: 160, time: 0.245, data: 0.006) loss: 0.397 
(epoch: 40, iters: 240, time: 0.246, data: 0.008) loss: 0.474 
(epoch: 40, iters: 320, time: 0.247, data: 0.006) loss: 0.256 
(epoch: 40, iters: 400, time: 0.244, data: 0.007) loss: 0.294 
(epoch: 40, iters: 480, time: 0.244, data: 0.008) loss: 0.459 
(epoch: 41, iters: 80, time: 0.243, data: 0.285) loss: 0.409 
(epoch: 41, iters: 160, time: 0.243, data: 0.000) loss: 0.648 
(epoch: 41, iters: 240, time: 0.244, data: 0.033) loss: 0.490 
(epoch: 41, iters: 320, time: 0.243, data: 0.000) loss: 0.486 
(epoch: 41, iters: 400, time: 0.244, data: 0.000) loss: 0.416 
(epoch: 41, iters: 480, time: 0.244, data: 0.018) loss: 0.672 
(epoch: 42, iters: 80, time: 0.243, data: 0.439) loss: 0.484 
(epoch: 42, iters: 160, time: 0.245, data: 0.000) loss: 0.308 
(epoch: 42, iters: 240, time: 0.243, data: 0.020) loss: 0.770 
(epoch: 42, iters: 320, time: 0.242, data: 0.000) loss: 0.552 
(epoch: 42, iters: 400, time: 0.243, data: 0.000) loss: 0.357 
(epoch: 42, iters: 480, time: 0.243, data: 0.022) loss: 0.474 
(epoch: 43, iters: 80, time: 0.243, data: 0.451) loss: 0.252 
(epoch: 43, iters: 160, time: 0.242, data: 0.000) loss: 0.571 
(epoch: 43, iters: 240, time: 0.244, data: 0.000) loss: 0.486 
(epoch: 43, iters: 320, time: 0.244, data: 0.019) loss: 0.391 
(epoch: 43, iters: 400, time: 0.242, data: 0.000) loss: 0.227 
(epoch: 43, iters: 480, time: 0.243, data: 0.000) loss: 2.018 
(epoch: 44, iters: 80, time: 0.243, data: 0.390) loss: 0.480 
(epoch: 44, iters: 160, time: 0.244, data: 0.000) loss: 0.309 
(epoch: 44, iters: 240, time: 0.243, data: 0.014) loss: 0.502 
(epoch: 44, iters: 320, time: 0.245, data: 0.019) loss: 0.838 
(epoch: 44, iters: 400, time: 0.242, data: 0.000) loss: 0.402 
(epoch: 44, iters: 480, time: 0.243, data: 0.013) loss: 0.448 
(epoch: 45, iters: 80, time: 0.242, data: 0.177) loss: 0.341 
(epoch: 45, iters: 160, time: 0.243, data: 0.000) loss: 0.313 
(epoch: 45, iters: 240, time: 0.243, data: 0.022) loss: 0.299 
(epoch: 45, iters: 320, time: 0.242, data: 0.000) loss: 0.456 
(epoch: 45, iters: 400, time: 0.243, data: 0.000) loss: 0.708 
(epoch: 45, iters: 480, time: 0.242, data: 0.019) loss: 0.434 
(epoch: 46, iters: 80, time: 0.242, data: 0.623) loss: 0.252 
(epoch: 46, iters: 160, time: 0.242, data: 0.000) loss: 0.931 
(epoch: 46, iters: 240, time: 0.244, data: 0.008) loss: 0.518 
(epoch: 46, iters: 320, time: 0.244, data: 0.016) loss: 0.606 
(epoch: 46, iters: 400, time: 0.243, data: 0.000) loss: 0.218 
(epoch: 46, iters: 480, time: 0.247, data: 0.006) loss: 0.367 
(epoch: 47, iters: 80, time: 0.244, data: 0.244) loss: 0.707 
(epoch: 47, iters: 160, time: 0.243, data: 0.007) loss: 0.289 
(epoch: 47, iters: 240, time: 0.243, data: 0.007) loss: 0.318 
(epoch: 47, iters: 320, time: 0.243, data: 0.006) loss: 0.671 
(epoch: 47, iters: 400, time: 0.243, data: 0.008) loss: 0.375 
(epoch: 47, iters: 480, time: 0.243, data: 0.006) loss: 0.283 
(epoch: 48, iters: 80, time: 0.242, data: 0.236) loss: 0.289 
(epoch: 48, iters: 160, time: 0.243, data: 0.006) loss: 0.591 
(epoch: 48, iters: 240, time: 0.243, data: 0.007) loss: 0.646 
(epoch: 48, iters: 320, time: 0.241, data: 0.008) loss: 0.592 
(epoch: 48, iters: 400, time: 0.243, data: 0.008) loss: 0.667 
(epoch: 48, iters: 480, time: 0.243, data: 0.006) loss: 0.232 
(epoch: 49, iters: 80, time: 0.245, data: 0.444) loss: 0.188 
(epoch: 49, iters: 160, time: 0.243, data: 0.000) loss: 0.212 
(epoch: 49, iters: 240, time: 0.243, data: 0.000) loss: 0.294 
